"episodeID","category","value","clues","answer"
"1","FISH, BIRD OR MAMMAL","400","The tapir","a mammal"
"1","FISH, BIRD OR MAMMAL","800","The lamprey","a fish"
"1","FISH, BIRD OR MAMMAL","1200","The coelacanth","a fish"
"1","FISH, BIRD OR MAMMAL","1600","The ptarmigan","a bird"
"1","FISH, BIRD OR MAMMAL","2000","The colobus","a mammal"
"1083","ANIMAL, VEGETABLE OR MINERAL","400","Feldspar","mineral"
"1083","ANIMAL, VEGETABLE OR MINERAL","800","Springhaas","animal"
"1083","ANIMAL, VEGETABLE OR MINERAL","1200","Haricot","vegetable"
"1083","ANIMAL, VEGETABLE OR MINERAL","1600","Tuco-tuco","animal"
"1083","ANIMAL, VEGETABLE OR MINERAL","2000","Daikon","vegetable"
"1468","EARTH, WIND OR FIRE","200","If you're practical & realistic, you're ""down-to-"" this","earth"
"1468","EARTH, WIND OR FIRE","400","Vulcan was the Roman god of this","fire"
"1468","EARTH, WIND OR FIRE","600","Harry Bertoia's ""Sound Sculptures"" are activiated by this","wind"
"1468","EARTH, WIND OR FIRE","800","For a lightning rod to work properly it must be connected to this","earth"
"1468","EARTH, WIND OR FIRE","1000","Get a second one & you'll have more energy to run","wind"
"1577","ANIMAL, VEGETABLE OR MINERAL","400","Amethyst","mineral"
"1577","ANIMAL, VEGETABLE OR MINERAL","800","Semolina","vegetable"
"1577","ANIMAL, VEGETABLE OR MINERAL","1200","Silica","mineral"
"1577","ANIMAL, VEGETABLE OR MINERAL","1600","Ibex","animal"
"1577","ANIMAL, VEGETABLE OR MINERAL","2000","Kale","vegetable"
"1765","ENGLAND, SCOTLAND OR WALES","200","The Angus breed of cattle was developed there","Scotland"
"1765","ENGLAND, SCOTLAND OR WALES","400","Regions there include Gwent & Gwynedd","Wales"
"1765","ENGLAND, SCOTLAND OR WALES","600","The Glengarry is a popular men's hat from there","Scotland"
"1765","ENGLAND, SCOTLAND OR WALES","800","Canute reigned there in the 11th century","England"
"1765","ENGLAND, SCOTLAND OR WALES","1000","The building of Caernarfon Castle, a medieval fortress, was begun there in 1283","Wales"
"1774","FISH, BIRD OR MAMMAL","400","The kestrel","a bird"
"1774","FISH, BIRD OR MAMMAL","800","The serval","a mammal"
"1774","FISH, BIRD OR MAMMAL","1200","The rail","a bird"
"1774","FISH, BIRD OR MAMMAL","1600","The mudskipper","a fish"
"1774","FISH, BIRD OR MAMMAL","2000","The wanderoo","a mammal"
"1800","EAT IT, BEAT IT OR TREAT IT","200","Conga","beat it"
"1800","EAT IT, BEAT IT OR TREAT IT","400","Beriberi","treat it"
"1800","EAT IT, BEAT IT OR TREAT IT","600","Tinea","treat it"
"1800","EAT IT, BEAT IT OR TREAT IT","800","Daikon","eat it"
"1800","EAT IT, BEAT IT OR TREAT IT","1000","Udu","beat it"
"1867","RODENT, MARSUPIAL OR PRIMATE","100","The porcupine","Rodent"
"1867","RODENT, MARSUPIAL OR PRIMATE","200","The Tasmanian Devil","Marsupial"
"1867","RODENT, MARSUPIAL OR PRIMATE","300","The chinchilla","Rodent"
"1867","RODENT, MARSUPIAL OR PRIMATE","400","The macaque","Primate"
"1867","RODENT, MARSUPIAL OR PRIMATE","500","The wombat","Marsupial"
"193","OSCAR, GRAMMY OR BOTH","200","Frank Sinatra","both"
"193","OSCAR, GRAMMY OR BOTH","400","Mickey Rooney","Oscar"
"193","OSCAR, GRAMMY OR BOTH","600","Bette Midler","Grammy"
"193","OSCAR, GRAMMY OR BOTH","800","Julie Andrews","both"
"193","OSCAR, GRAMMY OR BOTH","1000","Stevie Wonder","both"
"2101","OSCAR, GRAMMY OR BOTH","100","Cher","both"
"2101","OSCAR, GRAMMY OR BOTH","200","Meryl Streep","Oscar"
"2101","OSCAR, GRAMMY OR BOTH","300","Madonna","Grammy"
"2101","OSCAR, GRAMMY OR BOTH","400","Rita Moreno","both"
"2101","OSCAR, GRAMMY OR BOTH","500","Shirley Jones","Oscar"
"2125","FISH, BIRD OR MAMMAL","200","The skate","a fish"
"2125","FISH, BIRD OR MAMMAL","400","The tarsier","a mammal"
"2125","FISH, BIRD OR MAMMAL","600","The honeycreeper","a bird"
"2125","FISH, BIRD OR MAMMAL","800","The bongo","a mammal"
"2125","FISH, BIRD OR MAMMAL","1000","The cichlid","a fish"
"2320","ENGLAND, SCOTLAND OR WALES","200","The largest in area of the 3","England"
"2320","ENGLAND, SCOTLAND OR WALES","400","Tony Blair was born there","Scotland"
"2320","ENGLAND, SCOTLAND OR WALES","600","The one that is technically a principality","Wales"
"2320","ENGLAND, SCOTLAND OR WALES","800","It has the westernmost territory","Scotland"
"2320","ENGLAND, SCOTLAND OR WALES","1000","The Cambrian Mountains cover most of it","Wales"
"2582","RODENT, MARSUPIAL OR PRIMATE","200","The kangaroo rat","rodent"
"2582","RODENT, MARSUPIAL OR PRIMATE","400","The rat kangaroo","marsupial"
"2582","RODENT, MARSUPIAL OR PRIMATE","600","The bandicoot","marsupial"
"2582","RODENT, MARSUPIAL OR PRIMATE","800","The woodchuck","rodent"
"2582","RODENT, MARSUPIAL OR PRIMATE","1000","The aye-aye","primate"
"2597","OSCAR, GRAMMY OR BOTH","400","Yul Brynner","Oscar"
"2597","OSCAR, GRAMMY OR BOTH","800","Aerosmith","Grammy"
"2597","OSCAR, GRAMMY OR BOTH","1200","Henry Mancini","both"
"2597","OSCAR, GRAMMY OR BOTH","1600","Prince","both"
"2597","OSCAR, GRAMMY OR BOTH","2000","Steve Martin","Grammy"
"272","FISH, BIRD OR MAMMAL","200","The bearded tit","a bird"
"272","FISH, BIRD OR MAMMAL","400","The coati","a mammal"
"272","FISH, BIRD OR MAMMAL","600","The skipjack","a fish"
"272","FISH, BIRD OR MAMMAL","800","The wahoo","a fish"
"272","FISH, BIRD OR MAMMAL","1000","The margay","a mammal"
"2821","FISH, BIRD OR MAMMAL","200","The cormorant","a bird"
"2821","FISH, BIRD OR MAMMAL","400","The macaque","a mammal"
"2821","FISH, BIRD OR MAMMAL","600","The stickleback","a fish"
"2821","FISH, BIRD OR MAMMAL","800","The pangolin","a mammal"
"2821","FISH, BIRD OR MAMMAL","1000","The wahoo","a fish"
"2903","BIRD, REPTILE OR FELINE","200","The ocelot","feline"
"2903","BIRD, REPTILE OR FELINE","400","The cassowary","bird"
"2903","BIRD, REPTILE OR FELINE","600","The caiman","reptile"
"2903","BIRD, REPTILE OR FELINE","800","The kestrel","bird"
"2903","BIRD, REPTILE OR FELINE","1000","The basilisk","reptile"
"2991","EAT IT, BEAT IT OR TREAT IT","400","Couscous","eat it"
"2991","EAT IT, BEAT IT OR TREAT IT","800","ague","treat it"
"2991","EAT IT, BEAT IT OR TREAT IT","1200","Tabor","beat it"
"2991","EAT IT, BEAT IT OR TREAT IT","1600","Yaws","treat it"
"2991","EAT IT, BEAT IT OR TREAT IT","2000","Quinoa","eat it"
"3101","10, 11 OR 12","200","Signs of the Zodiac","12"
"3101","10, 11 OR 12","400","Days of Christmas in the popular song","12"
"3101","10, 11 OR 12","600","Amendments in the Bill of Rights","10"
"3101","10, 11 OR 12","800","Players on each side of the ball in an NFL game","11"
"3101","10, 11 OR 12","1000","Faces on a decahedron","10"
"3308","BIRD, REPTILE OR FELINE","200","The gila monster","reptile"
"3308","BIRD, REPTILE OR FELINE","400","The catamount","feline"
"3308","BIRD, REPTILE OR FELINE","600","The auk","bird"
"3308","BIRD, REPTILE OR FELINE","800","The adder","reptile"
"3308","BIRD, REPTILE OR FELINE","1000","The pintail","bird"
"460","10, 11 OR 12","100","Number of biblical commandments revealed to Moses on Mount Sinai","10"
"460","10, 11 OR 12","200","November is this number month of the year in the modern calendar","11"
"460","10, 11 OR 12","300","The highest roll possible using a pair of standard dice","12"
"460","10, 11 OR 12","400","X is the Roman numeral for this number","10"
"460","10, 11 OR 12","500","Total number of the labors of the mythological Hercules","12"
"527","EARTH, WIND OR FIRE","200","Completes the title of an Earth, Wind & Fire hit song ""Serpentine...""","fire"
"527","EARTH, WIND OR FIRE","400","As in aardvark or aardwolf, aarde means this in Afrikaans","earth"
"527","EARTH, WIND OR FIRE","600","The one with a heteronym","wind"
"527","EARTH, WIND OR FIRE","800","Shoe with what's termed a ""negative heel""","earth"
"527","EARTH, WIND OR FIRE","1000","Boreas was a Greek god of this","wind"
